GPA_year1,GPA_year2,age,chooseUTM,compsurv,control,credits_earned1,credits_earned2,dad1,dad2,dad_edn,english,female,finish4,goodstanding_year1,goodstanding_year2,gpa0,graddeg,grade_20059_fall,hcom,hsgroup,lastmin,lm_never,lm_rarely,mathsci,mom1,mom2,mom_edn,mtongue,noshow,numcourses_nov1,prob_year1,prob_year2,sex,sfp,sfp_p,sfpany,sfpany_p,sfsp,sfsp_p,signup,ssp,ssp_p,totcredits_year1,used_adv,used_fsg,used_ssp,work1
1.64,1.39,18,0,1,0,3,3,0,0,don t know/not applicable,1,1,1,1,1,79.800003,1,62.5,1,2,occasionally,0,0,3,0,0,don t know/not applicable,English,0,5,0,0,F,0,0,0,0,0,0,1,1,1,4.5,1,1,1,0
2.6800001,2.6700001,18,0,1,1,2.5,5,1,0,completed a community college diploma program,1,1,0,1,1,77.800003,0,78,1,2,occasionally,0,0,1,0,0,did not finish high school,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
0,.23,18,0,1,1,0,.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,0,1,0,0,74.5,0,40,1,1,often,0,0,1.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,0,5,0,1,M,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0
1.1900001,.82999998,18,1,1,0,3,1.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,0,0,85,0,60,1,3,often,0,0,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,4,1,0,M,1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
2.77,2.8900001,18,1,1,0,4,3.25,1,0,graduated from high school,1,1,1,1,1,78.300003,0,71.5,0,2,occasionally,0,0,1,1,0,completed a community college diploma program,English,0,6,0,0,F,0,0,0,0,0,0,1,1,1,5,0,0,0,0
.98000002,,19,0,1,1,2,0,1,0,completed a community college diploma program,0,1,1,0,0,78.5,1,47,0,2,rarely,0,1,3.5,1,0,graduated from high school,Other,0,4,1,1,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3.23,2.5999999,18,0,1,1,3.5,5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,1,1,84,1,77,1,3,never,1,0,4,1,1,"completed a doctoral degree or professional program (ph.d., ",English,0,6,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3.8499999,3.5699999,18,0,1,1,2.5,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,1,1,1,1,80.300003,1,85,1,2,occasionally,0,0,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.0799999,2.4000001,18,0,1,1,2.75,3.75,0,0,did not finish high school,1,1,0,1,1,78.300003,0,60,0,2,often,0,0,0,0,0,did not finish high school,English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
2.1300001,2.1600001,18,1,1,1,2.5,3,1,0,completed a community college diploma program,1,0,1,1,1,78,1,72,1,2,usually,0,0,.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,4,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
3.28,2.55,18,1,1,1,2,3,1,0,graduated from high school,1,1,1,1,1,81.300003,1,,1,3,occasionally,0,0,3,1,0,graduated from high school,English,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.22,2.54,18,0,1,0,2.5,5.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,1,1,0,1,85.300003,1,56,1,3,occasionally,0,0,3.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,6,1,0,F,1,1,1,1,0,0,1,0,0,4.5,0,0,0,0
.81999999,,18,0,1,0,1.5,0,1,0,graduated from high school,1,1,1,0,0,78,1,47,1,2,occasionally,0,0,3.5,1,0,graduated from high school,English,0,5,1,1,F,0,0,0,0,0,0,1,1,1,4.5,1,0,1,0
1.48,2.47,18,0,1,1,3,4,0,0,did not finish high school,1,1,1,0,1,80.699997,1,67,1,2,rarely,0,1,1,1,0,attended a community college but did not complete diploma,English,0,5,1,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3.1500001,3.74,18,0,1,1,3.5,4.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,1,1,80.300003,1,68.5,1,2,usually,0,0,3,1,0,graduated from high school,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.0799999,1.88,18,1,1,1,4.5,4.5,1,0,attended a community college but did not complete diploma,1,1,1,1,1,79.300003,0,68.75,0,2,rarely,0,1,.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.5899999,2.28,18,0,1,1,3,4.5,1,0,completed a community college diploma program,1,1,1,1,1,83.800003,1,74.5,1,3,rarely,0,1,3,1,0,completed a community college diploma program,English,0,4,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
.85000002,2.6500001,18,1,1,0,1.5,3.5,1,0,attended university but did not complete bachelor s degree,0,1,1,0,1,79.5,1,52,1,2,rarely,0,1,2,1,1,"completed a master s degree (m.a., m.sc., etc)",Other,0,4,0,0,F,1,1,1,1,0,0,1,0,0,3,0,0,0,0
2,,19,1,1,0,1.5,0,1,0,graduated from high school,1,1,1,0,0,77.699997,1,71,0,2,rarely,0,1,.5,1,0,completed a community college diploma program,English,0,6,0,1,F,0,0,0,0,0,0,0,1,0,2,0,0,0,0
,,19,0,1,1,3,0,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",0,0,1,,,81.199997,0,62.666668,0,3,often,0,0,0,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",Other,1,5,,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1799999,0,18,1,1,1,2.5,0,1,0,completed a community college diploma program,0,1,1,0,0,78.5,0,52,0,2,often,0,0,0,0,0,did not finish high school,Other,0,6,1,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1.95,2.3499999,18,1,1,1,3,3.5,1,1,"completed a doctoral degree or professional program (ph.d., ",1,1,1,1,1,75.300003,1,73,1,1,rarely,0,1,1,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2.8599999,2.8399999,18,0,1,1,3,4.5,1,1,"completed a master s degree (m.a., m.sc., etc)",1,1,1,1,1,82.300003,1,77.5,1,3,never,1,0,0,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",English,0,6,0,0,F,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2.0899999,2.3,19,1,1,1,3,4,1,0,graduated from high school,1,1,0,1,1,86.300003,0,57,1,3,often,0,0,3,1,1,"completed a doctoral degree or professional program (ph.d., ",English,0,5,0,0,F,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
3.28,2.6199999,19,1,1,1,4.5,4.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,1,1,1,84.300003,1,78.800003,1,3,rarely,0,1,0,1,0,completed a community college diploma program,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0
3.25,2.6099999,19,0,1,1,3,2.5,1,1,"completed a bachelor s degree (b.a., b.comm., etc)",1,0,0,1,1,80.800003,1,71.5,0,3,usually,0,0,1.5,1,0,attended university but did not complete bachelor s degree,English,0,5,0,0,M,0,0,0,0,0,0,0,0,0,4,0,0,0,0
